timestamp,temp_c,power_w,util_gpu_%,util_mem_%,fan_speed_%,clock_graphics_mhz,clock_mem_mhz
2025-10-27 01:18:54.110469,59.3,57.71,34,31,29,815,5331
2025-10-27 01:18:55.111225,50.7,36.56,11,9,16,464,5093
2025-10-27 01:18:56.111987,60.3,66.09,38,30,30,870,5378
2025-10-27 01:18:57.112662,76.8,110.59,77,59,55,1449,5730
2025-10-27 01:18:58.113280,65.1,69.53,45,42,37,967,5409
2025-10-27 01:18:59.113741,65.5,80.73,49,37,38,1029,5539
2025-10-27 01:19:00.114490,62.7,80.81,47,46,34,1002,5494
2025-10-27 01:19:01.115471,57.8,50.21,29,28,26,737,5295
2025-10-27 01:19:02.116204,62.3,68.49,44,32,33,959,5443
2025-10-27 01:19:03.117274,66.8,83.4,54,52,40,1115,5547
2025-10-27 01:19:04.118406,56.8,63.39,33,25,25,797,5342
2025-10-27 01:19:05.119138,83.4,138.17,99,70,65,1779,5979
2025-10-27 01:19:06.119871,61.2,64.05,38,29,31,864,5369
2025-10-27 01:19:07.120717,59.6,73.75,41,29,29,912,5368
2025-10-27 01:19:08.121082,75.1,116.33,79,61,52,1494,5798
2025-10-27 01:19:09.121889,58.5,61.59,35,25,27,816,5384
2025-10-27 01:19:10.122836,85.7,135.39,98,91,68,1762,6011
2025-10-27 01:19:11.123880,57.5,53.63,29,22,26,744,5301
2025-10-27 01:19:12.124586,64.1,84.74,52,36,36,1070,5512
2025-10-27 01:19:13.125324,74.5,105.37,75,73,51,1429,5745
2025-10-27 01:19:14.126335,53.5,54.42,26,23,20,681,5235
2025-10-27 01:19:15.126715,62.7,74.51,45,34,33,967,5431
2025-10-27 01:19:16.127139,79.0,113.29,81,64,58,1516,5787
2025-10-27 01:19:17.127925,79.5,126.7,88,85,59,1614,5872
2025-10-27 01:19:18.128647,61.6,66.29,37,29,32,863,5390
2025-10-27 01:19:19.129535,49.9,40.02,13,11,14,502,5140
2025-10-27 01:19:20.130547,59.3,64.04,35,26,28,830,5368
2025-10-27 01:19:21.131348,67.5,87.05,57,46,41,1154,5556
2025-10-27 01:19:22.132091,57.5,48.74,28,19,26,723,5264
2025-10-27 01:19:23.133155,69.4,97.13,62,56,44,1222,5601
2025-10-27 01:19:24.133786,72.8,109.97,74,66,49,1415,5734
2025-10-27 01:19:25.134902,49.7,38.3,13,10,14,488,5172
2025-10-27 01:19:26.135841,73.9,108.1,77,76,50,1459,5814
2025-10-27 01:19:27.136474,66.7,92.69,57,42,40,1153,5587
2025-10-27 01:19:28.137362,78.5,121.24,84,81,57,1554,5888
2025-10-27 01:19:29.137774,64.2,76.86,44,34,36,950,5404
2025-10-27 01:19:30.138505,79.4,126.18,85,60,59,1565,5870
2025-10-27 01:19:31.139310,64.6,70.5,44,43,36,968,5461
2025-10-27 01:19:32.140199,65.0,79.43,48,36,37,1026,5448
2025-10-27 01:19:33.140869,65.0,83.0,50,41,37,1049,5549
2025-10-27 01:19:34.141571,56.8,54.63,31,26,25,772,5294
2025-10-27 01:19:35.142438,79.4,129.73,90,85,59,1656,5947
2025-10-27 01:19:36.143143,67.9,90.03,58,47,41,1166,5575
2025-10-27 01:19:37.144163,70.4,100.72,66,48,45,1284,5655
2025-10-27 01:19:38.145100,52.9,47.5,24,21,19,666,5197
2025-10-27 01:19:39.145799,63.7,85.5,51,42,35,1071,5546
2025-10-27 01:19:40.146951,54.1,52.89,27,19,21,710,5310
2025-10-27 01:19:41.148078,76.6,114.16,76,72,54,1430,5730
2025-10-27 01:19:42.148710,52.6,45.98,24,20,18,663,5269
2025-10-27 01:19:43.149825,65.4,83.02,54,52,38,1103,5517
2025-10-27 01:19:44.150906,69.6,96.28,61,59,44,1209,5568
2025-10-27 01:19:45.152143,82.1,130.5,91,82,63,1660,5882
2025-10-27 01:19:46.153100,58.7,55.14,33,23,28,794,5366
2025-10-27 01:19:47.153855,68.4,89.89,58,45,42,1171,5531
2025-10-27 01:19:48.154463,68.1,91.91,63,51,42,1245,5637
2025-10-27 01:19:49.154883,78.1,121.0,82,79,57,1536,5811
2025-10-27 01:19:50.155830,78.2,112.71,81,79,57,1516,5785
2025-10-27 01:19:51.156723,52.8,39.59,17,16,19,548,5154
2025-10-27 01:19:52.157377,69.9,91.72,62,56,44,1232,5573
2025-10-27 01:19:53.157880,50.8,36.85,12,11,16,471,5082
2025-10-27 01:19:54.160140,63.0,76.15,48,37,34,1021,5515
2025-10-27 01:19:55.160886,69.7,100.03,64,56,44,1260,5650
2025-10-27 01:19:56.162158,81.9,133.32,91,89,62,1667,5948
2025-10-27 01:19:57.162832,48.5,38.85,12,10,12,472,5143
2025-10-27 01:19:58.163726,77.3,122.75,84,65,55,1554,5869
2025-10-27 01:19:59.164750,77.7,120.61,83,71,56,1544,5853
2025-10-27 01:20:00.167894,85.9,141.08,98,71,68,1766,5958
2025-10-27 01:20:01.168780,56.2,46.77,23,22,24,647,5204
2025-10-27 01:20:02.169272,46.8,35.39,10,9,10,452,5122
2025-10-27 01:20:03.170162,78.0,119.43,80,61,56,1504,5759
2025-10-27 01:20:04.170765,76.0,110.76,75,61,54,1419,5751
2025-10-27 01:20:05.171237,80.9,127.15,93,84,61,1701,5912
2025-10-27 01:20:06.171607,85.4,140.99,100,71,68,1798,5978
2025-10-27 01:20:07.171964,67.8,85.94,54,50,41,1112,5547
2025-10-27 01:20:08.172695,50.6,35.21,11,9,15,461,5140
2025-10-27 01:20:09.173166,51.8,41.42,17,12,17,557,5158
2025-10-27 01:20:10.173897,72.6,96.98,62,43,48,1229,5578
2025-10-27 01:20:11.175179,52.8,45.43,25,22,19,676,5242
2025-10-27 01:20:12.176105,61.6,72.02,41,35,32,910,5432
2025-10-27 01:20:13.176732,67.0,85.51,58,57,40,1178,5543
2025-10-27 01:20:14.177371,70.3,94.12,61,57,45,1205,5628
2025-10-27 01:20:15.178227,49.4,32.96,13,12,14,504,5162
2025-10-27 01:20:16.179026,58.0,50.82,29,21,27,742,5241
2025-10-27 01:20:17.179601,81.1,132.12,94,75,61,1709,5962
2025-10-27 01:20:18.180081,64.9,84.69,52,47,37,1071,5528
2025-10-27 01:20:19.180636,79.5,133.88,92,86,59,1678,5931
2025-10-27 01:20:20.181512,64.8,88.55,54,49,37,1119,5552
2025-10-27 01:20:21.181996,73.8,110.49,73,67,50,1394,5774
2025-10-27 01:20:22.182421,75.4,108.11,75,70,53,1417,5794
2025-10-27 01:20:23.183364,71.7,99.97,70,63,47,1342,5694
2025-10-27 01:20:24.183984,53.9,48.19,26,23,20,692,5217
2025-10-27 01:20:25.184710,57.0,57.93,35,33,25,823,5334
2025-10-27 01:20:26.185162,67.4,91.39,56,42,41,1132,5575
2025-10-27 01:20:27.185853,51.9,40.06,19,17,17,590,5230
2025-10-27 01:20:28.186863,80.9,127.68,89,84,61,1632,5855
2025-10-27 01:20:29.188011,68.0,94.23,58,44,41,1179,5555
2025-10-27 01:20:30.189096,56.1,46.99,25,22,24,671,5267
2025-10-27 01:20:31.189762,79.9,114.33,81,63,59,1520,5774
2025-10-27 01:20:32.190923,70.0,97.49,64,52,45,1256,5682
2025-10-27 01:20:33.191690,81.6,126.66,89,88,62,1631,5860
2025-10-27 01:20:34.192855,66.9,84.66,55,44,40,1117,5561
2025-10-27 01:20:35.193395,52.1,42.22,18,16,18,573,5221
2025-10-27 01:20:36.193910,84.4,131.32,94,67,66,1719,5948
2025-10-27 01:20:37.194740,67.3,92.32,58,55,40,1165,5596
2025-10-27 01:20:38.195630,71.9,98.41,68,63,47,1328,5654
2025-10-27 01:20:39.196375,71.6,91.94,61,57,47,1220,5632
2025-10-27 01:20:40.196943,72.4,99.76,69,59,48,1335,5652
2025-10-27 01:20:41.197767,68.7,89.99,56,41,43,1143,5593
2025-10-27 01:20:42.198525,78.3,110.5,77,59,57,1456,5756
2025-10-27 01:20:43.199477,83.5,136.35,98,68,65,1768,6017
2025-10-27 01:20:44.200168,55.5,55.53,29,20,23,733,5332
2025-10-27 01:20:45.201136,56.6,51.91,25,19,24,665,5276
2025-10-27 01:20:46.202646,56.4,58.99,31,26,24,761,5303
2025-10-27 01:20:47.203319,59.0,67.27,42,38,28,932,5429
2025-10-27 01:20:48.203909,77.9,121.19,83,59,56,1540,5794
2025-10-27 01:20:49.204772,55.2,51.36,27,26,22,707,5293
2025-10-27 01:20:50.205346,76.5,114.48,77,64,54,1464,5757
2025-10-27 01:20:51.206183,76.7,118.13,79,78,54,1478,5831
2025-10-27 01:20:52.209288,70.9,87.49,60,52,46,1205,5552
2025-10-27 01:20:53.211351,68.9,96.02,63,60,43,1236,5638
2025-10-27 01:20:54.211780,86.2,134.07,99,95,69,1792,5994
